Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,1,2,2,5
Canada,0,1,0,1
Czechoslovakia,1,0,2,3
Federal Republic of Germany,3,1,1,5
Finland,0,4,1,5
France,0,1,2,3
German Democratic Republic (Germany),4,3,7,14
Italy,2,2,1,5
Japan,1,1,1,3
Netherlands,4,3,2,9
Norway,2,5,5,12
Poland,1,0,0,1
Spain,1,0,0,1
Sweden,1,1,2,4
Switzerland,4,3,3,10
USSR,8,5,3,16
United States of America,3,2,3,8
