Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,2,4,2,8
Canada,1,0,1,2
Finland,3,4,2,9
France,0,0,1,1
Germany,3,2,2,7
Great Britain,1,0,0,1
Hungary,0,0,1,1
Italy,1,0,1,2
Netherlands,0,3,0,3
Norway,7,3,6,16
Sweden,0,0,4,4
Switzerland,0,0,2,2
United States of America,4,6,1,11
