Država,1896-Athens-Summer-Zlate,1896-Athens-Summer-Srebrne,1896-Athens-Summer-Bronaste,1896-Athens-Summer-Skupaj,1908-London-Summer-Zlate,1908-London-Summer-Srebrne,1908-London-Summer-Bronaste,1908-London-Summer-Skupaj,1912-Stockholm-Summer-Zlate,1912-Stockholm-Summer-Srebrne,1912-Stockholm-Summer-Bronaste,1912-Stockholm-Summer-Skupaj,1920-Antwerp-Summer-Zlate,1920-Antwerp-Summer-Srebrne,1920-Antwerp-Summer-Bronaste,1920-Antwerp-Summer-Skupaj,1924-Chamonix-Winter-Zlate,1924-Chamonix-Winter-Srebrne,1924-Chamonix-Winter-Bronaste,1924-Chamonix-Winter-Skupaj,1924-Paris-Summer-Zlate,1924-Paris-Summer-Srebrne,1924-Paris-Summer-Bronaste,1924-Paris-Summer-Skupaj,1928-Amsterdam-Summer-Zlate,1928-Amsterdam-Summer-Srebrne,1928-Amsterdam-Summer-Bronaste,1928-Amsterdam-Summer-Skupaj,1928-St_Moritz-Winter-Zlate,1928-St_Moritz-Winter-Srebrne,1928-St_Moritz-Winter-Bronaste,1928-St_Moritz-Winter-Skupaj,1932-Lake_Placid-Winter-Zlate,1932-Lake_Placid-Winter-Srebrne,1932-Lake_Placid-Winter-Bronaste,1932-Lake_Placid-Winter-Skupaj,1932-Los_Angeles-Summer-Zlate,1932-Los_Angeles-Summer-Srebrne,1932-Los_Angeles-Summer-Bronaste,1932-Los_Angeles-Summer-Skupaj,1936-Berlin-Summer-Zlate,1936-Berlin-Summer-Srebrne,1936-Berlin-Summer-Bronaste,1936-Berlin-Summer-Skupaj,1936-Garmisch_Partenkirchen-Winter-Zlate,1936-Garmisch_Partenkirchen-Winter-Srebrne,1936-Garmisch_Partenkirchen-Winter-Bronaste,1936-Garmisch_Partenkirchen-Winter-Skupaj,1948-London-Summer-Zlate,1948-London-Summer-Srebrne,1948-London-Summer-Bronaste,1948-London-Summer-Skupaj,1948-St_Moritz-Winter-Zlate,1948-St_Moritz-Winter-Srebrne,1948-St_Moritz-Winter-Bronaste,1948-St_Moritz-Winter-Skupaj,1952-Helsinki-Summer-Zlate,1952-Helsinki-Summer-Srebrne,1952-Helsinki-Summer-Bronaste,1952-Helsinki-Summer-Skupaj,1952-Oslo-Winter-Zlate,1952-Oslo-Winter-Srebrne,1952-Oslo-Winter-Bronaste,1952-Oslo-Winter-Skupaj,1956-Cortina_D_Ampezzo-Winter-Zlate,1956-Cortina_D_Ampezzo-Winter-Srebrne,1956-Cortina_D_Ampezzo-Winter-Bronaste,1956-Cortina_D_Ampezzo-Winter-Skupaj,1956-Melbourne-Summer-Zlate,1956-Melbourne-Summer-Srebrne,1956-Melbourne-Summer-Bronaste,1956-Melbourne-Summer-Skupaj,1960-Rome-Summer-Zlate,1960-Rome-Summer-Srebrne,1960-Rome-Summer-Bronaste,1960-Rome-Summer-Skupaj,1960-Squaw_Valley-Winter-Zlate,1960-Squaw_Valley-Winter-Srebrne,1960-Squaw_Valley-Winter-Bronaste,1960-Squaw_Valley-Winter-Skupaj,1964-Innsbruck-Winter-Zlate,1964-Innsbruck-Winter-Srebrne,1964-Innsbruck-Winter-Bronaste,1964-Innsbruck-Winter-Skupaj,1964-Tokyo-Summer-Zlate,1964-Tokyo-Summer-Srebrne,1964-Tokyo-Summer-Bronaste,1964-Tokyo-Summer-Skupaj,1968-Grenoble-Winter-Zlate,1968-Grenoble-Winter-Srebrne,1968-Grenoble-Winter-Bronaste,1968-Grenoble-Winter-Skupaj,1968-Mexico_City-Summer-Zlate,1968-Mexico_City-Summer-Srebrne,1968-Mexico_City-Summer-Bronaste,1968-Mexico_City-Summer-Skupaj,1972-Munich-Summer-Zlate,1972-Munich-Summer-Srebrne,1972-Munich-Summer-Bronaste,1972-Munich-Summer-Skupaj,1972-Sapporo-Winter-Zlate,1972-Sapporo-Winter-Srebrne,1972-Sapporo-Winter-Bronaste,1972-Sapporo-Winter-Skupaj,1976-Innsbruck-Winter-Zlate,1976-Innsbruck-Winter-Srebrne,1976-Innsbruck-Winter-Bronaste,1976-Innsbruck-Winter-Skupaj,1976-Montreal-Summer-Zlate,1976-Montreal-Summer-Srebrne,1976-Montreal-Summer-Bronaste,1976-Montreal-Summer-Skupaj,1980-Lake_Placid-Winter-Zlate,1980-Lake_Placid-Winter-Srebrne,1980-Lake_Placid-Winter-Bronaste,1980-Lake_Placid-Winter-Skupaj,1980-Moscow-Summer-Zlate,1980-Moscow-Summer-Srebrne,1980-Moscow-Summer-Bronaste,1980-Moscow-Summer-Skupaj,1984-Los_Angeles-Summer-Zlate,1984-Los_Angeles-Summer-Srebrne,1984-Los_Angeles-Summer-Bronaste,1984-Los_Angeles-Summer-Skupaj,1984-Sarajevo-Winter-Zlate,1984-Sarajevo-Winter-Srebrne,1984-Sarajevo-Winter-Bronaste,1984-Sarajevo-Winter-Skupaj,1988-Calgary-Winter-Zlate,1988-Calgary-Winter-Srebrne,1988-Calgary-Winter-Bronaste,1988-Calgary-Winter-Skupaj,1988-Seoul-Summer-Zlate,1988-Seoul-Summer-Srebrne,1988-Seoul-Summer-Bronaste,1988-Seoul-Summer-Skupaj,1992-Albertville-Winter-Zlate,1992-Albertville-Winter-Srebrne,1992-Albertville-Winter-Bronaste,1992-Albertville-Winter-Skupaj,1992-Barcelona-Summer-Zlate,1992-Barcelona-Summer-Srebrne,1992-Barcelona-Summer-Bronaste,1992-Barcelona-Summer-Skupaj,1994-Lillehammer-Winter-Zlate,1994-Lillehammer-Winter-Srebrne,1994-Lillehammer-Winter-Bronaste,1994-Lillehammer-Winter-Skupaj,1996-Atlanta-Summer-Zlate,1996-Atlanta-Summer-Srebrne,1996-Atlanta-Summer-Bronaste,1996-Atlanta-Summer-Skupaj,1998-Nagano-Winter-Zlate,1998-Nagano-Winter-Srebrne,1998-Nagano-Winter-Bronaste,1998-Nagano-Winter-Skupaj,2000-Sydney-Summer-Zlate,2000-Sydney-Summer-Srebrne,2000-Sydney-Summer-Bronaste,2000-Sydney-Summer-Skupaj,2002-Salt_Lake_City-Winter-Zlate,2002-Salt_Lake_City-Winter-Srebrne,2002-Salt_Lake_City-Winter-Bronaste,2002-Salt_Lake_City-Winter-Skupaj,2004-Athens-Summer-Zlate,2004-Athens-Summer-Srebrne,2004-Athens-Summer-Bronaste,2004-Athens-Summer-Skupaj,2006-Turin-Winter-Zlate,2006-Turin-Winter-Srebrne,2006-Turin-Winter-Bronaste,2006-Turin-Winter-Skupaj,2008-Beijing-Summer-Zlate,2008-Beijing-Summer-Srebrne,2008-Beijing-Summer-Bronaste,2008-Beijing-Summer-Skupaj,2010-Vancouver-Winter-Zlate,2010-Vancouver-Winter-Srebrne,2010-Vancouver-Winter-Bronaste,2010-Vancouver-Winter-Skupaj,2012-London-Summer-Zlate,2012-London-Summer-Srebrne,2012-London-Summer-Bronaste,2012-London-Summer-Skupaj,2014-Sochi-Winter-Zlate,2014-Sochi-Winter-Srebrne,2014-Sochi-Winter-Bronaste,2014-Sochi-Winter-Skupaj,2016-Rio-Summer-Zlate,2016-Rio-Summer-Srebrne,2016-Rio-Summer-Bronaste,2016-Rio-Summer-Skupaj,2018-Pyeongchang-Winter-Zlate,2018-Pyeongchang-Winter-Srebrne,2018-Pyeongchang-Winter-Bronaste,2018-Pyeongchang-Winter-Skupaj,2020-Tokyo-Summer-Zlate,2020-Tokyo-Summer-Srebrne,2020-Tokyo-Summer-Bronaste,2020-Tokyo-Summer-Skupaj,2022-Beijing-Winter-Zlate,2022-Beijing-Winter-Srebrne,2022-Beijing-Winter-Bronaste,2022-Beijing-Winter-Skupaj,2024-Paris-Summer-Zlate,2024-Paris-Summer-Srebrne,2024-Paris-Summer-Bronaste,2024-Paris-Summer-Skupaj
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,4,5,10,2,5,2,9,0,0,1,1,0,0,0,0,1,3,2,6,3,5,1,9,0,0,0,0,6,2,3,11,0,1,0,1,7,3,3,13,0,0,0,0,0,0,0,0,1,4,1,6,3,2,3,8,0,1,0,1,0,0,1,1,5,6,3,14,1,2,1,4,7,2,4,13,2,4,2,8,1,0,2,3,0,1,0,1,2,2,4,8,0,0,1,1,2,3,9,14,0,0,0,0,0,2,4,6,0,1,2,3,3,3,2,8,0,0,3,3,4,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,9,0,0,0,0,2,1,2,5,0,0,0,0,0,1,3,4,0,0,0,0,0,4,1,5,0,0,0,0,2,2,2,6,0,0,0,0,4,0,3,7,0,0,0,0,2,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
Denmark,1,2,3,6,0,2,3,5,1,6,5,12,3,9,1,13,0,0,0,0,2,6,3,11,3,2,4,9,0,0,0,0,0,0,0,0,0,5,3,8,0,2,3,5,0,0,0,0,5,8,9,22,0,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,1,1,1,3,2,3,1,6,0,0,0,0,0,0,0,0,2,1,3,6,0,0,0,0,1,4,3,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,1,2,5,0,3,3,6,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,1,1,4,6,0,0,0,0,4,1,1,6,0,1,0,1,2,3,1,6,0,0,0,0,2,1,5,8,0,0,0,0,2,2,3,7,0,0,0,0,2,4,3,9,0,0,0,0,2,6,7,15,0,0,0,0,3,4,4,11,0,0,0,0,2,2,5,9
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,5,0,0,0,0,1,0,2,3
EOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,1,2,2,5
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,0,0,0,0,2,2,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,4,0,0,0,0,0,0,3,3,0,0,0,0,1,1,4,6,0,0,0,0,1,1,1,3
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,1,1,4,6,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,1,3,0,1,2,3,3,0,0,3,1,1,0,2,0,1,0,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,2,0,1,3,0,0,0,0,4,1,3,8,0,0,0,0,2,3,2,7,0,0,0,0,4,2,1,7,0,0,0,0,3,2,3,8,0,0,0,0,1,2,5,8,0,0,0,0,1,1,2,4,0,0,0,0,1,3,0,4
Federal Republic of Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,5,11,10,26,13,11,16,40,3,1,1,5,2,5,3,10,10,12,17,39,0,2,3,5,0,0,0,0,17,19,23,59,2,1,1,4,2,4,2,8,11,14,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1
Finland,0,0,0,0,1,1,3,5,9,8,9,26,15,10,9,34,4,4,3,11,14,13,10,37,8,8,9,25,2,1,1,4,1,1,1,3,5,8,12,25,8,6,6,20,1,2,3,6,10,8,6,24,1,3,2,6,6,3,13,22,3,4,2,9,3,3,1,7,3,1,11,15,1,1,3,5,2,3,3,8,3,4,3,10,3,0,2,5,1,2,2,5,1,2,1,4,3,1,4,8,0,4,1,5,2,4,1,7,4,2,0,6,1,5,3,9,3,1,4,8,4,2,6,12,4,3,6,13,4,1,2,7,1,1,2,4,3,1,3,7,1,2,2,5,0,1,5,6,1,2,1,4,2,4,6,12,2,1,1,4,4,2,1,7,0,2,0,2,0,6,3,9,1,1,2,4,0,1,4,5,0,2,1,3,1,3,1,5,0,0,1,1,1,1,4,6,0,0,2,2,2,2,4,8,0,0,0,0
France,5,4,2,11,5,5,9,19,7,5,3,15,9,20,13,42,0,0,3,3,14,15,12,41,7,12,6,25,1,0,0,1,1,0,0,1,11,5,4,20,7,6,6,19,0,0,1,1,11,6,15,32,2,1,2,5,6,6,6,18,0,0,1,1,0,0,0,0,4,4,6,14,0,2,3,5,1,0,2,3,3,4,0,7,1,8,6,15,4,3,2,9,7,3,5,15,2,4,7,13,0,1,2,3,0,0,1,1,2,3,4,9,0,0,1,1,6,5,3,14,5,7,16,28,0,1,2,3,1,0,1,2,6,4,6,16,3,5,1,9,8,5,16,29,0,1,4,5,15,7,15,37,2,1,5,8,13,14,11,38,4,5,2,11,11,9,13,33,3,2,4,9,7,16,20,43,2,3,6,11,11,11,13,35,4,4,7,15,10,18,14,42,5,4,6,15,10,12,11,33,5,7,2,14,16,26,22,64
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,6,0,0,0,0,2,2,0,4,0,0,0,0,3,2,2,7,0,0,0,0,1,2,3,6,0,0,0,0,2,1,4,7,0,0,0,0,2,5,1,8,0,0,0,0,3,3,1,7
German Democratic Republic (Germany),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,9,9,7,25,20,23,23,66,4,3,7,14,7,5,7,19,40,25,25,90,9,7,7,23,47,37,42,126,0,0,0,0,9,9,6,24,9,10,6,25,37,35,30,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,6,5,2,13,3,5,5,13,6,13,7,26,0,0,0,0,0,0,0,0,0,0,0,0,11,9,19,39,0,0,1,1,0,0,2,2,5,12,7,24,38,31,32,101,3,3,0,6,0,0,0,0,0,0,0,0,0,7,17,24,3,2,2,7,1,0,1,2,4,10,6,20,12,19,11,42,4,3,1,8,3,3,3,9,10,22,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,6,26,33,21,28,82,9,7,8,24,20,18,27,65,12,9,8,29,13,17,26,56,12,16,8,36,13,16,20,49,11,12,6,29,16,11,14,41,10,13,7,30,11,20,13,44,8,6,5,19,17,10,15,42,14,10,7,31,10,11,16,37,12,10,5,27,12,13,8,33
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Great Britain,2,3,2,7,56,51,39,146,10,15,16,41,14,16,13,43,1,1,2,4,9,14,12,35,4,11,7,22,0,0,1,1,0,0,0,0,5,7,5,17,4,7,3,14,1,1,1,3,4,16,7,27,0,0,2,2,1,2,8,11,1,0,0,1,0,0,0,0,5,7,9,21,2,6,12,20,0,0,0,0,1,0,0,1,4,12,2,18,0,0,0,0,5,5,3,13,4,5,9,18,0,0,0,0,1,0,0,1,3,5,5,13,1,0,0,1,5,7,9,21,5,11,21,37,1,0,0,1,0,0,0,0,5,10,9,24,0,0,0,0,5,3,12,20,0,0,2,2,1,8,6,15,0,0,1,1,11,10,7,28,1,0,1,2,9,9,12,30,0,1,0,1,19,13,19,51,1,0,0,1,29,18,18,65,1,1,3,5,27,23,17,67,1,0,4,5,22,20,22,64,1,1,0,2,14,22,29,65
