Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Norway,6,4,5,15
United States of America,2,2,2,6
Sweden,2,2,1,5
Finland,2,1,1,4
Canada,1,0,0,1
France,1,0,0,1
Austria,0,3,1,4
Great Britain,0,0,1,1
Switzerland,0,0,1,1
Belgium,0,0,1,1
Germany,0,0,1,1
Czechoslovakia,0,0,1,1
