Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,1,3,4,8
Belgium,1,1,0,2
Canada,2,0,1,3
Czechoslovakia,0,1,0,1
Finland,1,3,2,6
France,2,1,2,5
Great Britain,0,0,2,2
Hungary,0,1,0,1
Italy,1,0,0,1
Norway,4,3,3,10
Sweden,4,3,3,10
Switzerland,3,4,3,10
United States of America,3,4,2,9
