Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,4,3,4,11
Canada,0,1,2,3
Finland,3,3,1,7
Germany,1,0,1,2
Hungary,0,0,1,1
Italy,1,2,0,3
Japan,0,1,0,1
Norway,2,1,1,4
Poland,0,0,1,1
Sweden,2,4,4,10
Switzerland,3,2,1,6
USSR,7,3,6,16
United States of America,2,3,2,7
