Država,Zlate medalje,Srebrne medalje,Bronaste medalje,Skupaj
Austria,1,1,0,2
Canada,1,1,5,7
Finland,1,1,1,3
France,1,0,0,1
Germany,0,0,2,2
Hungary,0,0,1,1
Norway,3,4,3,10
Sweden,1,2,0,3
Switzerland,0,1,0,1
United States of America,6,4,2,12
